iter	Accuracy	MultiClass
438	0.9878082192	0.1040495097
439	0.9876712329	0.1038087872
440	0.9882191781	0.1034244281
441	0.9882191781	0.1032517292
442	0.9882191781	0.1030562956
443	0.9882191781	0.1029544344
444	0.9882191781	0.1027936682
445	0.9882191781	0.1025875096
446	0.9882191781	0.1024304183
447	0.9882191781	0.1022733055
448	0.9884931507	0.1020509509
449	0.9883561644	0.1018097596
450	0.9883561644	0.1015433515
451	0.9883561644	0.1013090481
452	0.9883561644	0.1012030668
453	0.9883561644	0.1010344706
454	0.9883561644	0.1008504045
455	0.988630137	0.1005996544
456	0.988630137	0.1003988196
457	0.988630137	0.1002571682
458	0.988630137	0.1000326492
459	0.9884931507	0.09981662309
460	0.9889041096	0.09959516658
461	0.9890410959	0.09936814638
462	0.9890410959	0.09910328401
463	0.9889041096	0.0988938445
464	0.9890410959	0.09867496863
465	0.9890410959	0.09842621718
466	0.9891780822	0.09831325339
467	0.9894520548	0.09815019676
468	0.9891780822	0.09796808402
469	0.9895890411	0.09770766828
470	0.9895890411	0.09753363436
471	0.9897260274	0.09723359819
472	0.9895890411	0.09698215501
473	0.9895890411	0.09685701717
474	0.9897260274	0.09674529193
475	0.9897260274	0.09664052756
476	0.9897260274	0.09649106178
477	0.9897260274	0.0963607609
478	0.9898630137	0.09612703332
479	0.9898630137	0.09600689162
480	0.9898630137	0.09582811265
481	0.9898630137	0.09575532737
482	0.99	0.09538610269
483	0.99	0.09512868523
484	0.99	0.09496067599
485	0.99	0.0946976859
486	0.99	0.09456713652
487	0.9902739726	0.09425154782
488	0.9902739726	0.09404162615
489	0.9902739726	0.09390792263
490	0.9904109589	0.09378079339
491	0.9904109589	0.0936010417
492	0.9904109589	0.09337377127
493	0.9902739726	0.09305300544
494	0.9901369863	0.09283056267
495	0.9902739726	0.09265194655
496	0.9902739726	0.0924464188
497	0.9904109589	0.09221428834
498	0.9905479452	0.09205673716
499	0.9905479452	0.09195679051
500	0.9905479452	0.09175981688
501	0.9906849315	0.09153633974
502	0.9906849315	0.09136435437
503	0.9908219178	0.09115502334
504	0.9908219178	0.09102406415
505	0.9908219178	0.09090827409
506	0.9909589041	0.09066769541
507	0.9908219178	0.09050845309
508	0.9908219178	0.0901949986
509	0.9915068493	0.08995441395
510	0.9915068493	0.08983625744
511	0.991369863	0.08954700005
512	0.991369863	0.08931916869
513	0.9912328767	0.08904796248
514	0.9917808219	0.08883677987
515	0.9916438356	0.0886300507
516	0.9917808219	0.08841016402
517	0.9917808219	0.08810854546
518	0.9917808219	0.08794927828
519	0.9917808219	0.0878535804
520	0.9919178082	0.08754738241
521	0.9919178082	0.08737160337
522	0.9919178082	0.08721911006
523	0.9919178082	0.08702698015
524	0.9920547945	0.0869223978
525	0.9920547945	0.08674450413
526	0.9920547945	0.08663537356
527	0.9920547945	0.08646936617
528	0.9920547945	0.0863386633
529	0.9920547945	0.0862159584
530	0.9920547945	0.08606300807
531	0.9920547945	0.08582726067
532	0.9920547945	0.08559711901
533	0.9920547945	0.08548518387
534	0.9920547945	0.08536613295
535	0.9921917808	0.08520468802
536	0.9921917808	0.08499612846
537	0.9923287671	0.08488273503
538	0.9923287671	0.08464272344
539	0.9923287671	0.08447626714
540	0.9923287671	0.08427869724
541	0.9923287671	0.0841514848
542	0.9923287671	0.08400764535
543	0.9921917808	0.08389697862
544	0.9921917808	0.08374410884
545	0.9924657534	0.08354824219
546	0.9924657534	0.0833960198
547	0.9924657534	0.08319497183
548	0.9923287671	0.0830254574
549	0.9923287671	0.08284725578
550	0.9924657534	0.08269599338
551	0.9924657534	0.08256915009
552	0.9926027397	0.0824293234
553	0.9924657534	0.08224276361
554	0.9923287671	0.08214576556
555	0.9924657534	0.08206898274
556	0.9923287671	0.0818822976
557	0.9926027397	0.08170033638
558	0.9926027397	0.08153655632
559	0.9923287671	0.08139559069
560	0.9928767123	0.08119996803
561	0.9931506849	0.08099049495
562	0.9931506849	0.08092136297
563	0.9930136986	0.08073224774
564	0.9930136986	0.08057269239
565	0.9930136986	0.08043422063
566	0.9931506849	0.08026622672
567	0.9931506849	0.08012259395
568	0.9932876712	0.07997657765
569	0.9931506849	0.07989904041
570	0.9931506849	0.07973293715
571	0.9932876712	0.07962061395
572	0.9934246575	0.07948344408
573	0.9934246575	0.07927883268
574	0.9935616438	0.07906777469
575	0.9935616438	0.07878879245
576	0.9935616438	0.07867007649
577	0.9935616438	0.07856008204
578	0.9935616438	0.07846679394
579	0.9936986301	0.07835682312
580	0.9936986301	0.07829087253
581	0.9942465753	0.07810291149
582	0.9942465753	0.07794812218
583	0.9942465753	0.07784201562
584	0.9942465753	0.0777733559
585	0.9942465753	0.07763174701
586	0.9939726027	0.07753437099
587	0.9939726027	0.07728329457
588	0.994109589	0.07712542825
589	0.9939726027	0.07701938894
590	0.9942465753	0.0769040804
591	0.994109589	0.07684123149
592	0.9943835616	0.07662130779
593	0.994109589	0.07648522877
594	0.9942465753	0.07633904008
595	0.9945205479	0.07617344284
596	0.9942465753	0.07604190525
597	0.9943835616	0.07591896919
598	0.9943835616	0.07579804395
599	0.9943835616	0.07571310322
600	0.9946575342	0.07563665268
601	0.9943835616	0.0755798925
602	0.9947945205	0.07544680279
603	0.9945205479	0.07532326364
604	0.9947945205	0.07522026545
605	0.9949315068	0.07507738624
606	0.9950684932	0.07499900733
607	0.9950684932	0.07491293777
608	0.9950684932	0.07481829404
609	0.9952054795	0.07469636445
610	0.9953424658	0.07453040139
611	0.9952054795	0.07430237948
612	0.9952054795	0.07423407924
613	0.9953424658	0.074088558
614	0.9950684932	0.0739633616
615	0.9954794521	0.07387777777
616	0.9952054795	0.0737395897
617	0.9954794521	0.07358417183
618	0.9954794521	0.07346883551
619	0.9956164384	0.07339330786
620	0.9956164384	0.07325226923
621	0.9957534247	0.07319238384
622	0.9956164384	0.07309670141
623	0.9956164384	0.07295355608
624	0.9957534247	0.07282246762
625	0.9956164384	0.07270839581
626	0.9956164384	0.07258449639
627	0.9957534247	0.07245937423
628	0.9957534247	0.07238578124
629	0.9957534247	0.07227100195
630	0.9957534247	0.07215202609
631	0.9957534247	0.07193740253
632	0.9957534247	0.07181987139
633	0.9957534247	0.07163092618
634	0.9957534247	0.07152119929
635	0.995890411	0.07138009223
636	0.9960273973	0.07130979312
637	0.9961643836	0.07116797419
638	0.9961643836	0.07109566433
639	0.9961643836	0.07101045818
640	0.9961643836	0.0708511022
641	0.9961643836	0.07079256454
642	0.9961643836	0.07066561963
643	0.9961643836	0.0705434126
644	0.9961643836	0.07038327981
645	0.9963013699	0.07021685355
646	0.9963013699	0.07010607092
647	0.9963013699	0.07006120482
648	0.9964383562	0.06994761133
649	0.9964383562	0.06986391443
650	0.9964383562	0.0697660836
651	0.9964383562	0.06960586226
652	0.9964383562	0.06953314238
653	0.9964383562	0.06942812563
654	0.9964383562	0.06930898684
655	0.9964383562	0.06923510662
656	0.9964383562	0.06910566771
657	0.9963013699	0.06902064474
658	0.9964383562	0.06897793685
659	0.9964383562	0.06892306448
660	0.9964383562	0.06883449904
661	0.9965753425	0.06867813871
662	0.9964383562	0.06850144704
663	0.9965753425	0.06839698171
664	0.9965753425	0.0683205931
665	0.9965753425	0.06817384492
666	0.9967123288	0.06804508772
667	0.9967123288	0.06791529242
668	0.9967123288	0.06784218991
669	0.9967123288	0.06771081561
670	0.9967123288	0.06758358971
671	0.9967123288	0.067489928
672	0.9967123288	0.06738601411
673	0.9967123288	0.06733038848
674	0.9967123288	0.0671977219
675	0.9967123288	0.06715042356
676	0.9968493151	0.06711245291
677	0.9968493151	0.06699977407
678	0.9968493151	0.06688653351
679	0.9968493151	0.06673537213
680	0.9967123288	0.06665377916
681	0.9968493151	0.06655290451
682	0.9968493151	0.06647703734
683	0.9968493151	0.06636980828
684	0.9967123288	0.0662312101
685	0.9967123288	0.06614116382
686	0.9967123288	0.06608985741
687	0.9967123288	0.06595634081
688	0.9969863014	0.06586652177
689	0.9969863014	0.06576784019
690	0.9969863014	0.0656667299
691	0.9968493151	0.06552309811
692	0.9969863014	0.06544766214
693	0.9968493151	0.06539444033
694	0.9968493151	0.06530428931
695	0.9968493151	0.06518891025
696	0.9968493151	0.06510022723
697	0.9969863014	0.06493138211
698	0.9968493151	0.06478857055
699	0.9968493151	0.0646983789
700	0.9968493151	0.06461299697
701	0.9968493151	0.0645321309
702	0.9968493151	0.06440817081
703	0.9968493151	0.06432982846
704	0.9969863014	0.06420288491
705	0.9969863014	0.06411394141
706	0.9969863014	0.06406600114
707	0.9968493151	0.06396057368
708	0.9969863014	0.06391932214
709	0.9969863014	0.06385954821
710	0.9969863014	0.0637769923
711	0.9969863014	0.06361806423
712	0.9969863014	0.06354061398
713	0.9971232877	0.06342310057
714	0.9971232877	0.06332184164
715	0.9971232877	0.06326525361
716	0.9971232877	0.06314781539
717	0.9971232877	0.06307105045
718	0.9971232877	0.06302649824
719	0.9971232877	0.06287451195
720	0.9971232877	0.0628117132
721	0.9971232877	0.06270896507
722	0.997260274	0.06265246483
723	0.9971232877	0.06259626642
724	0.9971232877	0.0625370017
725	0.9971232877	0.06246638534
726	0.9973972603	0.06234975071
727	0.9973972603	0.06221126858
728	0.9973972603	0.06211251964
729	0.9975342466	0.06200524439
730	0.9975342466	0.0619222659
731	0.9976712329	0.06188509403
732	0.9976712329	0.061796169
733	0.9976712329	0.06168043987
734	0.9976712329	0.06157133868
735	0.9976712329	0.0615015529
736	0.9976712329	0.06142564689
737	0.9976712329	0.06134670769
738	0.9976712329	0.06124719002
739	0.9976712329	0.06116447889
740	0.9976712329	0.06110765861
741	0.9978082192	0.0610373984
742	0.9978082192	0.06095587965
743	0.9978082192	0.06084586729
744	0.9978082192	0.06076903324
745	0.9978082192	0.06068684582
746	0.9978082192	0.0605804393
747	0.9978082192	0.06053451628
748	0.9978082192	0.0604535431
749	0.9978082192	0.06035307321
750	0.9978082192	0.06029339179
751	0.9978082192	0.06022226463
752	0.9978082192	0.0601150709
753	0.9978082192	0.06001917023
754	0.9978082192	0.05990106716
755	0.9978082192	0.0597946157
756	0.9978082192	0.05973356667
757	0.9979452055	0.05966607366
758	0.9978082192	0.0595681549
759	0.9979452055	0.05943828366
760	0.9979452055	0.05934325155
761	0.9979452055	0.0592516303
762	0.9979452055	0.05914054791
763	0.9979452055	0.05906378194
764	0.9979452055	0.05892484526
765	0.9979452055	0.05885194291
766	0.9979452055	0.05874442194
767	0.9978082192	0.05867906338
768	0.9978082192	0.05861913248
769	0.9978082192	0.05855658441
770	0.9979452055	0.05845597788
771	0.9979452055	0.05834194875
772	0.9979452055	0.05828602352
773	0.9979452055	0.0582152417
774	0.9979452055	0.05814637444
775	0.9979452055	0.05808344816
776	0.9979452055	0.0580000637
777	0.9979452055	0.05789145791
778	0.9979452055	0.05778465347
779	0.9979452055	0.05768763265
780	0.9979452055	0.05758267472
781	0.9979452055	0.05751824383
782	0.9979452055	0.05742058664
783	0.9980821918	0.05732177999
784	0.9980821918	0.05719853568
785	0.9980821918	0.05711531906
786	0.9984931507	0.05703773003
787	0.9984931507	0.05694981875
788	0.9982191781	0.05688727792
789	0.9982191781	0.05680265093
790	0.9982191781	0.05672953536
791	0.9982191781	0.05666556729
792	0.9983561644	0.05656743706
793	0.9982191781	0.05647637313
794	0.9984931507	0.05640964463
795	0.9984931507	0.0563594865
796	0.9983561644	0.05628471218
797	0.9983561644	0.05621313855
798	0.9982191781	0.05614742803
799	0.9983561644	0.05604432654
800	0.9983561644	0.05597277704
801	0.9983561644	0.05587133473
802	0.9983561644	0.05580794235
803	0.9984931507	0.05574972038
804	0.9984931507	0.0556341292
805	0.9984931507	0.05557287333
806	0.998630137	0.05551135286
807	0.9984931507	0.05537682751
808	0.998630137	0.05532655647
809	0.998630137	0.05525275569
810	0.998630137	0.05518333027
811	0.998630137	0.05515506664
812	0.998630137	0.05511254408
813	0.998630137	0.05496163044
814	0.998630137	0.05490847567
815	0.998630137	0.05486018461
816	0.998630137	0.05479067051
817	0.998630137	0.05467867458
818	0.998630137	0.0545971649
819	0.998630137	0.05451112562
820	0.998630137	0.05440941637
821	0.998630137	0.05432752668
822	0.998630137	0.05426290183
823	0.998630137	0.05419805877
